seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
5	3	0	0.300	0.000773	0.017771	0.017788	0.791110	2.495165e+11	3.673821	0.749039
5	4	0	0.300	0.001003	0.017129	0.017158	0.756495	3.344120e+11	3.449141	0.715488
5	5	0	0.300	0.001413	0.019672	0.019722	0.696198	4.146860e+11	3.791215	0.742403
5	6	0	0.300	0.001944	0.023589	0.023688	0.621876	4.915350e+11	4.313769	0.775501
5	7	0	0.300	0.002311	0.025231	0.025327	0.570694	5.705815e+11	4.463096	0.783239
5	8	0	0.300	0.002660	0.026615	0.026705	0.525028	6.495299e+11	4.614538	0.790704
5	9	0	0.300	0.003183	0.030640	0.030815	0.456197	7.195568e+11	5.049920	0.808546
5	10	0	0.300	0.003681	0.034428	0.034623	0.395443	7.896448e+11	5.483223	0.825001
5	11	0	0.300	0.004173	0.038863	0.039123	0.334157	8.579273e+11	6.086733	0.842392
5	12	0	0.300	0.004598	0.042195	0.042428	0.285901	9.258390e+11	6.552232	0.856464
5	13	0	0.300	0.004831	0.043772	0.044047	0.257465	9.974592e+11	6.638689	0.853001
5	14	0	0.300	0.005150	0.046892	0.047187	0.222795	1.065360e+12	7.098175	0.862175
5	15	0	0.300	0.005435	0.049902	0.050218	0.191986	1.132356e+12	7.516019	0.868731
5	16	0	0.300	0.005706	0.052813	0.053182	0.165775	1.196844e+12	7.936269	0.876104
5	17	0	0.300	0.005968	0.056737	0.057116	0.139106	1.257632e+12	8.514402	0.883933
5	18	0	0.300	0.006211	0.060821	0.061219	0.115843	1.314486e+12	9.139628	0.892932
5	19	0	0.300	0.006340	0.063024	0.063536	0.100779	1.380501e+12	9.126136	0.884974
5	20	0	0.300	0.006597	0.068782	0.069333	0.078510	1.429871e+12	9.942682	0.895808
5	21	0	0.300	0.006690	0.071447	0.072101	0.067105	1.490006e+12	9.904026	0.887415
5	22	0	0.300	0.006920	0.078681	0.079452	0.049466	1.529251e+12	10.996509	0.899870
5	23	0	0.300	0.007047	0.083438	0.084316	0.039242	1.576843e+12	11.540848	0.903955
5	24	0	0.300	0.007172	0.088734	0.089641	0.030615	1.620402e+12	12.224914	0.911263
5	25	0	0.300	0.007281	0.094274	0.095276	0.023170	1.663813e+12	12.876480	0.916687
5	26	0	0.300	0.007350	0.100115	0.101244	0.017761	1.702621e+12	13.339707	0.918215
5	27	0	0.300	0.007448	0.108992	0.110218	0.011614	1.726300e+12	14.490751	0.924795
5	28	0	0.300	0.007508	0.117146	0.118478	0.008067	1.758479e+12	15.458504	0.930870
5	29	0	0.300	0.007553	0.124211	0.125635	0.005652	1.787603e+12	16.074492	0.932716
5	30	0	0.300	0.007600	0.133881	0.135500	0.003381	1.807963e+12	17.133947	0.937217
5	31	0	0.300	0.007626	0.142334	0.144055	0.002309	1.828143e+12	17.829942	0.938142
5	32	0	0.300	0.007649	0.151918	0.153729	0.001394	1.849259e+12	18.722696	0.940656
5	33	0	0.300	0.007633	0.158875	0.160887	0.000963	1.877611e+12	18.590224	0.931282
5	34	0	0.300	0.007648	0.168164	0.170251	0.000624	1.891377e+12	19.216745	0.933696
5	35	0	0.300	0.007659	0.179757	0.181936	0.000283	1.900911e+12	20.325951	0.936806
5	36	0	0.300	0.007663	0.190532	0.192586	0.000177	1.912087e+12	20.936866	0.938848
5	37	0	0.300	0.007671	0.201005	0.203069	0.000097	1.920864e+12	21.142187	0.939857
5	38	0	0.300	0.007675	0.213182	0.214911	0.000059	1.925039e+12	22.024860	0.941949
5	39	0	0.300	0.007678	0.225652	0.227066	0.000028	1.925555e+12	22.818381	0.943013
5	40	0	0.300	0.007682	0.238453	0.239580	0.000017	1.924874e+12	23.575404	0.944398
6	1	0	0.300	0.000137	0.009938	0.009938	0.908196	8.558487e+10	2.383382	0.568270
6	2	0	0.300	0.000415	0.014644	0.014713	0.852032	1.689337e+11	3.173725	0.676353
